rfm_segment,users,purchase_revenue,avg_recency_days,avg_purchase_sessions,avg_monetary_value,revenue_share
at_risk_previous_buyer,60921,2779903.5100000026,104.13645540946472,1.183762577764646,45.63128494279481,0.4376539332885728
high_value_loyal,6487,1530613.9299999997,21.860027747803297,4.721905349159858,235.95096809002615,0.2409721072695719
low_value_occasional,25129,1324630.8999999994,37.73807155079788,1.3883958772732699,52.71323570376853,0.20854318196842067
recent_first_time,17981,716681.9499999987,15.09854846782715,1.0,39.85773594349584,0.1128307774734323
