session_month,total_sessions,viewed_sessions,carted_after_view_sessions,purchased_after_cart_sessions,purchased_sessions,purchase_revenue,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
2019-10-01,873960,826270,191226,20909,29743,1290263.9699999995,0.23143282462149176,0.10934182590233546,0.025305287617848886
2019-11-01,940115,881865,167435,24756,36269,1520350.2200000004,0.1898646618246557,0.14785439125630842,0.02807232399516933
2019-12-01,837485,792263,129436,19581,28629,1067244.9100000001,0.16337504086395552,0.15127939676751445,0.024715277628767216
2020-01-01,963165,910925,155301,21837,32098,1304780.5700000003,0.1704871421906304,0.14061081383893215,0.023972335812498285
2020-02-01,921216,869378,145032,19443,28878,1169190.6199999999,0.16682271693095524,0.13406006950190302,0.022364265026260155
